mid,用户名,发文时间,内容,转发数,评论数,点赞数
4489251209361492#,Morningair_初晛,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望……让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489251032632540#,君温柔似水,2020-04-02,"
感谢有你！致敬英雄！//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489249694436217#,噫惹ya,2020-04-02,"
@李现ing 我永远支持你！我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。点击链接O网页链接看更多感人的故事                ", , ,
4489248646083802#,蓝腾豪富哲亨豪,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489247954361569#,别柔蓓婉惠韵,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489247626941372#,笨笨家的克功,2020-04-02,"
感谢有你 @王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489247266578292#,凯凯的头毛05,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489246578108276#,和和和呀呀呀,2020-04-02,"
                    //@王凯kkw: #感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接  O网页链接  看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489246100079171#,凯凯的防狼小背心,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489245962017491#,珺儿zz18798,2020-04-02,"
#李现营业# lx#一瞬倾心 我的荣耀#  李现//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 一起说出对所有抗疫英雄们的感谢。O网页链接看感人故事                ", , ,
4489245534008514#,kkw20151102,2020-04-02,"
//@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489245433551797#,珺儿zz18798,2020-04-02,"
@李现ing 我们一起拿下 #明星势力榜# 第一名！//@李现ing:#感谢 有你# 感谢所有医务人员两个多月的一线奋战，希望你们可以早日回到温暖的家中。也感谢值班民警、环卫工人、新建医院的建筑工人等其他一线英雄们，让我们和@活力伊利 @新华网 说出对所有抗疫英雄们的感谢。O网页链接看感人故事                ", , ,
4489245232038674#,最美盛京大剧院,2020-04-02,"
@王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489244913646350#,安然若素161025,2020-04-02,"
#王凯清平乐# #电视剧清平乐# @王凯kkw //@王凯kkw:#感谢 有你# 感谢所有奋战在一线的工作人员，有了你们的舍己逆行，才有了我们的平安，向你们致敬。谢谢你们的坚守和奉献。点击链接 O网页链接 看更多感人的故事，我们和@活力伊利 一起说出对所有抗疫英雄们的感谢。                ", , ,
4489243294944595#,V_vante,2020-04-02,"
#感谢 有你# //@央视新闻:#感谢 有你# 当疫情来袭，全国各地医疗人员汇集武汉；钟南山、李兰娟、程京等科研团队深入一线，为科研攻关贡献力量；如今，一线医护人员仍在奋战；为战疫做贡献的各界人士不下火线……伊利集团再捐1.8亿，支持感谢这些英雄                ", , ,
