名称,发文数,关注数,粉丝数,获赞数,认证,位置,简介,文章id,标题,发布时间,评论数,转发数,点赞数
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,"<a class=""user_name_fontColor"" href=""https://weitoutiao.zjurl.cn/rogue/topic_share/?concern_id=1656848084597790"">#疫情联防联控实时播报#</a> 【意大利累计确诊新冠肺炎283例】当地时间25日，意大利民防部门负责人博雷利表示，截至当天12时（北京时间19点），该国确诊新型冠状病毒肺炎病例增至283例，其中7人死亡，1人治愈出院。南部的西西里岛首府巴勒莫出现首个病例，系来自伦巴第大区的女性游客。此外，托斯卡纳大区也首次确诊2个病例。（总台记者李耀洋）",2020/2/25 21:22,46,2,337
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【国务院常务会议：扩大硕士生招生及专升本规模】25日召开的国务院常务会议指出：①要扩大硕士研究生招生和专升本规模，增加基层医疗、社会服务等岗位招募；②要对延迟离校毕业生推迟报到、落户等时限。对离校未就业毕业生提供2年户口和档案托管，按应届毕业生办理就业手续。,2020/2/25 20:55,1102,13,1512
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,伊朗卫生部副部长确诊感染新冠肺炎,2020/2/25 20:30,43,1,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【埃及前总统穆巴拉克逝世  享年91岁】据埃及媒体报道，当地时间25日上午，埃及前总统穆巴拉克在开罗去世，享年91岁。胡斯尼·穆巴拉克出生于1928年5月4日，于1981年10月14日起就任埃及总统，于2011年初爆发的大规模反政府示威中被迫下台。（总台记者陆隽弘） ​​​​,2020/2/25 19:45,8,1,439
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,国务院：免征湖北境内小规模纳税人增值税3个月 其他地区降至1%,2020/2/25 19:41,20,2,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,专访法医刘良：新冠肺炎逝者尸检病理结果将很快揭晓,2020/2/25 19:35,566,49,2648
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【送别！湖北57岁干部带病奋战因公殉职】昨晚，湖北省京山市新冠肺炎疫情防控指挥部医疗救治和专家组成员、市卫生健康局党组成员崔靖因连续奋战防疫一线，过度劳累，突发急性肾功能衰竭，经抢救无效逝世，终年57岁。自疫情防控工作开展以来，他一直坚守岗位，2月5日他突发肾绞痛、肾积水，还坚持带病工作……（总台央视记者李炜）,2020/2/25 18:53,167,7,888
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,【沈阳严防境外疫情输入  体温无异常乘客专车接送】从今日起，沈阳将严防境外疫情输入，采取相应防控措施，严格控制疫情传播扩散：①关口前移，相关部门在境外航班降落3小时前掌握相关信息②入关的所有乘客均接受体温检测，测温无异常的乘客安排专车接送③如乘客有发热症状，安排120救护车送至发热门诊诊断治疗。（总台央视记者李承泽）,2020/2/25 18:16,359,12,541
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,习近平对全国春季农业生产工作作出重要指示,2020/2/25 17:55,18,1,0
央视新闻,59983,16,77905799,31987615,中央电视台新闻中心官方账号,,中央电视台新闻中心头条新闻官方帐号，是央视重大新闻、突发事件、重点报道的发布平台。,2020022618091701001504513827024BB7,习近平同埃塞俄比亚总理阿比通电话,2020/2/25 17:53,8,2,0
