code,发行人中文简称,发行人中文名称,起息日期,起息年份
600834.SH,申通地铁,上海申通地铁股份有限公司,2017-04-20,2017
600859.SH,王府井,王府井集团股份有限公司,2009-12-28,2009
600861.SH,北京城乡,北京城乡商业(集团)股份有限公司,2015-03-23,2015
600866.SH,星湖科技,广东肇庆星湖生物科技股份有限公司,2014-09-23,2014
600869.SH,智慧能源,远东智慧能源股份有限公司,2012-04-11,2012
600872.SH,中炬高新,中炬高新技术实业(集团)股份有限公司,2016-03-01,2016
600873.SH,梅花生物;梅花集团,梅花生物科技集团股份有限公司,2011-12-21,2011
600881.SH,亚泰集团,吉林亚泰(集团)股份有限公司,2016-03-07,2016
600884.SH,杉杉股份,宁波杉杉股份有限公司,2011-08-24,2011
600886.SH,国投电力,国投电力控股股份有限公司,2011-08-29,2011
600888.SH,新疆众和,新疆众和股份有限公司,2016-01-21,2016
600891.SH,秋林集团,哈尔滨秋林集团股份有限公司,2016-12-14,2016
600895.SH,张江高科,上海张江高科技园区开发股份有限公司,2012-06-25,2012
600900.SH,长江电力,中国长江电力股份有限公司,2012-03-02,2012
600963.SH,岳阳林纸,岳阳林纸股份有限公司,2016-08-23,2016
600973.SH,宝胜股份,宝胜科技创新股份有限公司,2012-04-24,2012
600978.SH,宜华生活,宜华生活科技股份有限公司,2012-12-07,2012
600979.SH,广安爱众,四川广安爱众股份有限公司,2009-10-27,2009
600981.SH,汇鸿集团,江苏汇鸿国际集团股份有限公司,2016-03-21,2016
600982.SH,宁波热电,宁波热电股份有限公司,2012-08-22,2012
600987.SH,航民股份,浙江航民股份有限公司,2011-07-07,2011
600988.SH,赤峰黄金,赤峰吉隆黄金矿业股份有限公司,2016-09-26,2016
600997.SH,开滦股份,开滦能源化工股份有限公司,2016-09-14,2016
600998.SH,九州通,九州通医药集团股份有限公司,2012-12-05,2012
601003.SH,柳钢股份,柳州钢铁股份有限公司,2014-12-10,2014
601006.SH,大秦铁路,大秦铁路股份有限公司,2015-09-25,2015
601008.SH,连云港,江苏连云港港口股份有限公司,2012-11-07,2012
601011.SH,宝泰隆,宝泰隆新材料股份有限公司,2014-07-11,2014
601012.SH,隆基股份,隆基绿能科技股份有限公司,2011-06-01,2011
601016.SH,节能风电,中节能风力发电股份有限公司,2012-12-07,2012
601018.SH,宁波港,宁波舟山港股份有限公司,2012-04-10,2012
601021.SH,春秋航空,春秋航空股份有限公司,2012-11-15,2012
601058.SH,赛轮金宇,赛轮金宇集团股份有限公司,2012-03-22,2012
